Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot17,"Kurt",normal,34,Pending,"Chumming","Zone place_skier_12_2","1","16:03:10","N/A",
Bot19,"Deandre",normal,23,Pending,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","16:03:11","N/A",
Bot21,"Кирилл",normal,8,Active,"Golden Swag","Item Golden Zibbo lighter","1","16:03:17","N/A",
Bot20,"Кондратий",normal,25,Active,"Tigr Safari","Zone place_peacemaker_002_N3","1","16:03:17","N/A",
Bot23,"Василий",normal,42,Failed,"Fortress","Fortress: Objective #5","1","16:03:17","16:03:26",
Bot23,"Василий",normal,42,Failed,"Fortress","Fortress: Objective #7","1","16:03:31","16:03:45",
Bot23,"Василий",normal,42,Failed,"Fortress","Fortress: Objective #8","1","16:03:50","16:04:05",
Bot23,"Василий",normal,42,Failed,"Fortress","Fortress: Objective #4","1","16:04:10","16:04:31",
Bot23,"Василий",normal,42,Failed,"Fortress","Fortress: Objective #2","1","16:04:36","16:04:38",
Bot22,"Мирослав",normal,28,Pending,"Boss Hunter (sectantPriest)","Spawn Point (-19.8 -8.5 113.3)","1","16:03:17","N/A",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-161.6 3.2 -126.5)","1","16:04:01","16:05:43",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-163.0 3.2 -168.5)","1","16:05:49","16:06:39",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-179.4 1.4 -235.0)","1","16:06:44","16:07:23",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-236.4 1.5 -235.9)","1","16:07:28","16:07:52",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-183.6 1.6 -190.1)","1","16:07:57","16:08:49",
Bot25,"Тимур",normal,35,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-160.8 3.1 -101.7)","1","16:08:54","16:12:12",
Bot25,"Тимур",normal,35,Failed,"Bullshit","Item Flash drive with fake info","1","16:12:17","16:15:26",
Bot25,"Тимур",normal,35,Active,"Bullshit","Zone Q019_3","1","16:15:31","N/A",
Bot26,"Макар",normal,32,Pending,"Boss Hunter (bossSanitar)","Spawn Point (580.0 -0.6 33.1)","1","16:04:01","N/A",
Bot27,"Юрий",normal,38,Failed,"Planting The Evidence - Part 2","Item Flash drive with fake info","1","16:04:01","16:25:12",
Bot27,"Юрий",normal,38,Completed,"Warehouse 17","Warehouse 17: Objective #1","1","16:25:17","16:26:39",
Bot27,"Юрий",normal,38,Active,"Fortress","Fortress: Objective #9","1","16:26:44","N/A",
Bot36,"Астап",normal,35,Failed,"Bullshit","Item Flash drive with fake info","1","16:08:46","16:22:19",
Bot36,"Астап",normal,35,Active,"Bullshit","Zone Q019_3","1","16:22:24","N/A",
Bot40,"Иван",normal,27,Active,"Out of Curiosity","Zone gazel","1","16:09:50","N/A",
Bot41,"Родион",normal,25,Completed,"Secrets of Polikhim","Item Case with precision tools","1","16:09:50","16:21:25",
Bot41,"Родион",normal,25,Completed,"Garage","Garage: Objective #1","1","16:21:30","16:21:59",
Bot41,"Родион",normal,25,Failed,"Garage","Garage: Objective #3","1","16:22:04","16:22:17",
Bot41,"Родион",normal,25,Completed,"Garage","Garage: Objective #2","1","16:22:23","16:22:35",
Bot41,"Родион",normal,25,Pending,"Fortress","Fortress: Objective #9","1","16:22:41","N/A",
Bot44,"Tyrone",normal,15,Active,"Golden Swag","Zone extraction_zone_zibbo","1","16:13:23","N/A",
Bot45,"Kyle",normal,18,Pending,"Tigr Safari","Zone place_peacemaker_002_N3","1","16:13:29","N/A",
Bot59,"Ефим",normal,31,Completed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","16:16:48","16:17:52",
Bot59,"Ефим",normal,31,Completed,"Chumming","Zone place_skier_12_2","2","16:18:22","16:18:48",
Bot59,"Ефим",normal,31,Completed,"Is This a Reference?","Zone zone_unity","2","16:18:53","16:21:05",
Bot62,"Даня Князь (Lester)",normal,1,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","16:21:19","16:21:28",
Bot62,"Даня Князь (Lester)",normal,1,Completed,"Giving Trunk","Giving Trunk: Objective #1","1","16:21:33","16:22:00",
Bot62,"Даня Князь (Lester)",normal,1,Active,"Big Red","Big Red: Objective #4","1","16:22:05","N/A",
Bot63,"Лёва Рыжий (Dennis)",normal,1,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","16:22:00","16:22:20",
Bot65,"Гена Корчмарь (Zachariah)",normal,1,Pending,"Repair Shop","Repair Shop: Objective #2","1","16:22:21","N/A",
Bot67,"Игорян Десинк (Михей)",normal,1,Active,"Big Red","Big Red: Objective #2","1","16:22:42","N/A",
