Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot10,"Кондратий",normal,11,Completed,"Chemical - Part 4","Zone gazel","1","22:38:33","22:47:52",
Bot10,"Кондратий",normal,11,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","22:48:22","22:55:26",
Bot11,"Антон",normal,18,Failed,"Shaking Up the Teller","Item Bank case","1","22:38:33","22:40:01",
Bot11,"Антон",normal,18,Completed,"Shaking Up the Teller","Zone room214","1","22:40:06","22:41:54",
Bot11,"Антон",normal,18,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","22:42:00","22:43:55",
Bot12,"Феликс",normal,25,Failed,"Pharmacist","Item Carbon case","1","22:38:33","22:38:37",
Bot13,"Иван",normal,18,Failed,"Crackhouse","Crackhouse: Objective #4","1","22:38:35","22:45:03",
Bot14,"Артемий",normal,22,Failed,"Crackhouse","Crackhouse: Objective #4","1","22:38:35","22:47:29",
Bot15,"Bobbie",normal,15,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","22:38:40","22:39:11",
Bot15,"Bobbie",normal,15,Failed,"Golden Swag","Item Golden Zibbo lighter","1","22:39:12","22:42:17",
Bot15,"Bobbie",normal,15,Failed,"The Extortionist","Item Secure Folder 0048","1","22:42:22","22:42:45",
Bot17,"Максим",normal,13,Failed,"Fortress","Fortress: Objective #7","1","22:38:41","22:43:18",
Bot18,"Connor",normal,22,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","22:38:41","22:39:02",
Bot18,"Connor",normal,22,Completed,"Secrets of Polikhim","Item Case with precision tools","1","22:39:07","22:40:05",
Bot18,"Connor",normal,22,Completed,"Fortress","Fortress: Objective #4","1","22:40:11","22:40:52",
Bot18,"Connor",normal,22,Completed,"Fortress","Fortress: Objective #8","3","22:40:57","22:41:41",
Bot18,"Connor",normal,22,Failed,"Fortress","Fortress: Objective #2","1","22:41:46","22:41:46",
Bot16,"Давид",normal,13,Failed,"The Extortionist","Zone dead_posylni","1","22:38:42","22:41:40",
Bot26,"Antwan",normal,21,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","22:43:43","22:43:49",
Bot26,"Antwan",normal,21,Failed,"Shaking Up the Teller","Item Bank case","1","22:43:54","22:51:08",
Bot27,"Malik",normal,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:43:43","22:50:37",
Bot29,"Кайл Собачник (Lou)",normal,1,Completed,"Train Car","Train Car: Objective #1","1","22:43:58","22:44:32",
Bot29,"Кайл Собачник (Lou)",normal,1,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","22:44:37","22:45:29",
Bot31,"Trey",normal,7,Failed,"Between Two Fires","Item Ref dirt","1","22:44:01","22:46:51",
Bot32,"Rodolfo",normal,14,Failed,"Factory Shacks","Factory Shacks: Objective #1","1","22:44:01","22:50:42",
Bot37,"Осип",normal,21,Active,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","22:45:19","N/A",
Bot36,"Виталлий",normal,2,Pending,"Center Crossing Camping","Center Crossing Camping: Objective #1","1","22:45:19","N/A",
Bot36,"Виталлий",normal,2,Pending,"Giving Tree","Giving Tree: Objective #1","1","22:45:25","N/A",
Bot38,"Кондрат",normal,6,Pending,"Crackhouse","Crackhouse: Objective #7","1","22:45:25","N/A",
Bot44,"Борис Танкист (Colby)",normal,1,Failed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","22:49:21","22:54:29",
Bot45,"Прохор Плоскостопие (Thomas)",normal,1,Active,"Substation","Substation: Objective #4","1","22:50:37","N/A",
Bot46,"Феоктист Сявка (Aldo)",normal,1,Active,"Checkpoint","Checkpoint: Objective #2","1","22:50:45","N/A",
Bot47,"Федот Буйный (Leroy)",normal,1,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","22:51:02","22:51:58",
Bot47,"Федот Буйный (Leroy)",normal,1,Completed,"Big Red","Big Red: Objective #3","1","22:52:03","22:52:32",
Bot48,"Вадим",normal,14,Failed,"New Gas","New Gas: Objective #2","1","22:52:25","22:53:28",
Bot48,"Вадим",normal,14,Completed,"New Gas","New Gas: Objective #1","1","22:53:33","22:53:36",
Bot48,"Вадим",normal,14,Completed,"New Gas","New Gas: Objective #3","1","22:53:42","22:54:02",
Bot48,"Вадим",normal,14,Active,"Short Cut","Short Cut: Objective #1","1","22:54:07","N/A",
Bot52,"Протасий Шустрила (Hershel)",normal,1,Completed,"Crackhouse","Crackhouse: Objective #2","1","22:54:54","22:55:13",
