Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"Claud",normal,44,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","19:33:52","19:34:45",
Bot22,"Cecil",normal,44,Failed,"Is This a Reference?","Zone zone_451","1","19:33:52","19:35:11",
Bot23,"Calvin",normal,31,Failed,"TerraGroup Storage Room","TerraGroup Storage Room: Objective #1","1","19:33:53","19:35:32",
Bot24,"Shon",normal,11,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","19:33:54","19:34:41",
Bot25,"Jackie",normal,37,Active,"Basement Intersection Camping","Basement Intersection Camping: Objective #1","1","19:33:54","N/A",
