Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"Murray",normal,14,Completed,"Pier Sniping","Pier Sniping: Objective #1","2","17:44:21","17:47:10",
Bot31,"Murray",normal,14,Completed,"Pier Sniping","Pier Sniping: Objective #2","2","17:47:15","17:50:42",
Bot31,"Murray",normal,14,Active,"Pier","Pier: Objective #2","1","17:50:47","N/A",
Bot32,"Лаврентий",normal,10,Completed,"Small Business - Part 3","Zone unkown_mark_2","2","17:44:22","17:47:15",
Bot32,"Лаврентий",normal,10,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N3","1","17:47:20","N/A",
Bot34,"Макей",normal,22,Completed,"Small Business - Part 3","Zone unkown_mark_2","2","17:44:26","17:45:17",
Bot34,"Макей",normal,22,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N3","1","17:45:22","N/A",
Bot35,"Тихон",normal,21,Completed,"Boss Hunter (bossKnight)","Spawn Point (181.4 -37.2 -268.6)","1","17:44:26","17:45:03",
Bot35,"Тихон",normal,21,Completed,"Boss Hunter (bossKnight)","Spawn Point (72.6 -31.2 -156.3)","1","17:45:08","17:46:07",
Bot35,"Тихон",normal,21,Completed,"Boss Hunter (bossKnight)","Spawn Point (13.7 -26.2 -163.8)","1","17:46:12","17:46:34",
Bot35,"Тихон",normal,21,Completed,"Boss Hunter (bossKnight)","Spawn Point (27.4 -20.6 -211.8)","1","17:46:39","17:47:35",
Bot35,"Тихон",normal,21,Completed,"Boss Hunter (bossKnight)","Spawn Point (148.2 -37.4 -256.4)","1","17:47:40","17:48:19",
Bot35,"Тихон",normal,21,Active,"Boss Hunter (bossKnight)","Spawn Point (-78.2 -21.8 -6.1)","1","17:48:24","N/A",
Bot36,"Георгий",normal,24,Completed,"Boss Hunter (sectantPriest)","Spawn Point (181.4 -37.2 -268.6)","1","17:44:26","17:45:00",
Bot36,"Георгий",normal,24,Completed,"Boss Hunter (sectantPriest)","Spawn Point (72.6 -31.2 -156.3)","1","17:45:05","17:45:55",
Bot36,"Георгий",normal,24,Completed,"Boss Hunter (sectantPriest)","Spawn Point (13.7 -26.2 -163.8)","1","17:46:00","17:46:33",
Bot36,"Георгий",normal,24,Completed,"Boss Hunter (sectantPriest)","Spawn Point (148.2 -37.4 -256.4)","1","17:46:38","17:47:49",
Bot36,"Георгий",normal,24,Completed,"Boss Hunter (sectantPriest)","Spawn Point (27.4 -20.6 -211.8)","1","17:47:54","17:48:36",
Bot36,"Георгий",normal,24,Active,"Boss Hunter (sectantPriest)","Spawn Point (143.3 -33.5 -288.2)","1","17:48:41","N/A",
