Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot123,"Аркадий",normal,32,Active,"One Less Loose End","Item Lab journal","1","16:17:18","N/A",
Bot122,"Леонтий",normal,22,Active,"Black Swan","Zone nf2024_6_beacon_3","1","16:17:18","N/A",
Bot124,"Святослав",normal,29,Active,"Is This a Reference?","Zone zone_half-life","1","16:17:20","N/A",
Bot125,"Астап",normal,16,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","16:17:20","N/A",
Bot126,"Самуил",normal,13,Pending,"Farming - Part 1","Zone place_SADOVOD_01_1","1","16:17:22","N/A",
