Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Наум",normal,32,Failed,"Proper Comeback","Zone NosQuests_11_factory_place","1","19:28:32","19:31:16",
Bot4,"Игнат",normal,25,Failed,"Forklift Certified","Zone nf2024_2_8","1","19:28:32","19:31:10",
Bot5,"Сергей",normal,13,Failed,"Bad Rep Evidence","Zone locked_office","1","19:28:32","19:31:03",
Bot6,"Елизар",normal,24,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","19:28:32","19:28:57",
Bot7,"Cody",normal,30,Failed,"Is This a Reference?","Zone zone_sapper","1","19:28:33","19:29:53",
Bot9,"Паштет Бомж (Wyatt)",normal,1,Failed,"Bridge Sniping","Bridge Sniping: Objective #2","1","19:31:10","19:31:37",
Bot9,"Паштет Бомж (Wyatt)",normal,1,Failed,"Bridge Sniping","Bridge Sniping: Objective #1","1","19:31:25","19:31:37",
Bot14,"Терентий Неудачник (Willy)",normal,1,Pending,"Pumping Station Basement","Pumping Station Basement: Objective #1","1","19:34:11","N/A",
