Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Филипп",normal,14,Completed,"Eagle Eye","Zone place_peacemaker_004_N2","1","17:16:31","17:18:40",
Bot7,"Филипп",normal,14,Failed,"Eagle Eye","Zone place_peacemaker_004_N1","1","17:18:45","17:21:40",
Bot9,"Darrin",normal,23,Completed,"Boss Hunter (sectantPriest)","Spawn Point (-527.1 -27.0 287.4)","1","17:16:33","17:17:10",
Bot9,"Darrin",normal,23,Completed,"Boss Hunter (sectantPriest)","Spawn Point (-451.6 -26.0 286.0)","1","17:17:15","17:17:46",
Bot9,"Darrin",normal,23,Completed,"Boss Hunter (sectantPriest)","Spawn Point (-520.4 -25.7 284.6)","1","17:17:51","17:18:13",
Bot9,"Darrin",normal,23,Completed,"Boss Hunter (sectantPriest)","Spawn Point (-443.9 -26.0 259.9)","1","17:18:18","17:18:49",
Bot9,"Darrin",normal,23,Failed,"Boss Hunter (sectantPriest)","Spawn Point (-490.9 -24.2 203.3)","1","17:18:54","17:19:24",
Bot10,"Rocky",normal,28,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","17:16:33","17:17:36",
Bot10,"Rocky",normal,28,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","17:17:41","17:21:17",
Bot8,"Dewitt",normal,36,Failed,"Viewer","Zone NosQuests_8_shoreline_place","1","17:16:34","17:18:02",
Bot8,"Dewitt",normal,36,Failed,"Proper Comeback","Zone NosQuests_11_shoreline_place","1","17:18:03","17:18:37",
Bot8,"Dewitt",normal,36,Active,"Colleagues - Part 1","Zone ter_023_area_3_1","1","17:18:38","N/A",
Bot11,"Панкрат",normal,24,Completed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N1","1","17:16:35","17:21:02",
Bot11,"Панкрат",normal,24,Failed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N2","1","17:21:07","17:22:57",
Bot12,"Матвей",normal,24,Completed,"Nothing Fishy About This","Zone q14_11_jeep","1","17:16:39","17:16:59",
Bot12,"Матвей",normal,24,Completed,"Small Business - Part 3","Zone unkown_mark_2","2","17:17:04","17:18:43",
Bot12,"Матвей",normal,24,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N3","1","17:18:48","N/A",
Bot13,"Monty",normal,15,Failed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #7","1","17:16:40","17:16:58",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #5","1","17:17:03","17:17:29",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #3","1","17:17:34","17:17:42",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","17:17:48","17:17:53",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #9","1","17:17:58","17:18:10",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","17:18:16","17:18:32",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #4","1","17:18:37","17:18:59",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","17:19:04","17:19:18",
Bot13,"Monty",normal,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #6","1","17:19:23","17:19:34",
Bot13,"Monty",normal,15,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","17:19:39","17:22:42",
Bot22,"Spencer",normal,20,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","17:23:17","17:24:42",
Bot22,"Spencer",normal,20,Active,"Signal - Part 1","Zone place_SIGNAL_01_1","1","17:24:47","N/A",
Bot23,"Asa",normal,25,Pending,"Anesthesia","Zone prapor_022_area_3","1","17:23:17","N/A",
