Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Boris",normal,25,Failed,"Is This a Reference?","Zone Zone_two_toilets","1","20:52:52","20:53:08",
Bot40,"Boris",normal,25,Active,"Is This a Reference?","Zone Zone_cursed","1","20:53:09","N/A",
Bot41,"Lou",normal,28,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","20:52:52","21:10:12",
Bot41,"Lou",normal,28,Active,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","21:10:17","N/A",
Bot43,"Корнил",normal,4,Active,"Resort Main 1st Floor","Resort Main 1st Floor: Objective #1","1","20:52:53","N/A",
Bot42,"Лаврентий",normal,27,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #2","1","20:52:53","20:54:45",
Bot42,"Лаврентий",normal,27,Completed,"Lend-Lease - Part 1","Item Motor Controller #2","1","20:54:50","20:58:27",
Bot42,"Лаврентий",normal,27,Active,"The Cult - Part 2","Zone place_peacemaker_007_2_N3","1","20:58:32","N/A",
Bot44,"Игнат",normal,41,Active,"No Swiping","Zone q14_10_kill","1","20:52:54","N/A",
Bot45,"Савелий",normal,34,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-350.3 -5.1 -175.1)","1","20:52:58","20:54:19",
Bot45,"Савелий",normal,34,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-318.8 -5.1 -173.1)","1","20:54:24","20:54:44",
Bot45,"Савелий",normal,34,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-343.1 -5.2 -113.2)","1","20:54:49","20:55:13",
Bot45,"Савелий",normal,34,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-295.4 -5.1 -127.3)","1","20:55:18","20:56:05",
Bot45,"Савелий",normal,34,Completed,"Boss Hunter (bossSanitar)","Spawn Point (-291.4 -5.8 -54.5)","1","20:56:10","20:59:24",
Bot45,"Савелий",normal,34,Completed,"Rigged Game","Zone skier_022_area_1","2","20:59:29","21:00:18",
Bot45,"Савелий",normal,34,Active,"Rigged Game","Zone skier_022_area_2","1","21:00:23","N/A",
Bot46,"Всеволод",normal,44,Failed,"Viewer","Zone NosQuests_8_shoreline_place","1","20:52:59","20:54:36",
Bot46,"Всеволод",normal,44,Active,"Is This a Reference?","Zone Zone_two_toilets","1","20:54:37","N/A",
Bot47,"Тимофей",normal,45,Pending,"Anesthesia","Zone prapor_022_area_3","1","20:52:59","N/A",
Bot49,"Shelby",normal,23,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","20:53:00","20:53:44",
Bot49,"Shelby",normal,23,Pending,"Health Care Privacy - Part 1","Zone ter_013_area_1","1","20:54:14","N/A",
Bot48,"Cedrick",normal,37,Active,"Anesthesia","Zone prapor_022_area_2","1","20:53:00","N/A",
Bot58,"Vaughn",normal,50,Completed,"Tank on Bridge","Tank on Bridge: Objective #1","1","20:57:32","20:58:00",
Bot58,"Vaughn",normal,50,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N3","1","20:58:05","N/A",
Bot59,"Willy",normal,25,Pending,"Fishing Gear","Zone place_peacemaker_001","1","20:57:32","N/A",
Bot67,"Benny",normal,24,Active,"Colleagues - Part 1","Zone ter_023_area_2_1","1","20:59:41","N/A",
Bot66,"Shaun",normal,19,Active,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","20:59:41","N/A",
Bot73,"Quentin",normal,32,Completed,"Courtesy Visit","Zone huntsman_024_3","1","21:02:35","21:04:30",
Bot73,"Quentin",normal,32,Completed,"Courtesy Visit","Zone huntsman_024_1","1","21:04:35","21:05:32",
Bot73,"Quentin",normal,32,Completed,"Courtesy Visit","Zone huntsman_024_2","1","21:05:37","21:06:11",
Bot73,"Quentin",normal,32,Completed,"Nothing Fishy About This","Zone q14_11_jeep","1","21:06:16","21:07:47",
Bot73,"Quentin",normal,32,Completed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","21:07:52","21:10:31",
Bot73,"Quentin",normal,32,Active,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","21:10:36","N/A",
Bot74,"Миха Стиляга (Damian)",normal,1,Archived,"Cottage Garage","Cottage Garage: Objective #1","1","21:02:38","21:06:27",
Bot74,"Миха Стиляга (Damian)",normal,1,Failed,"West Cottage","West Cottage: Objective #1","1","21:06:32","21:06:43",
Bot74,"Миха Стиляга (Damian)",normal,1,Completed,"Cabins","Cabins: Objective #6","1","21:06:49","21:07:55",
Bot74,"Миха Стиляга (Damian)",normal,1,Completed,"Cabins","Cabins: Objective #3","2","21:08:01","21:08:35",
