Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Emmett",normal,16,Active,"The Walls Have Eyes","Zone nf2024_7_1","1","13:13:53","N/A",
Bot3,"Vance",normal,29,Pending,"Forklift Certified","Zone nf2024_2_12","1","13:13:53","N/A",
Bot4,"Никита",normal,35,Active,"Is This a Reference?","Zone zone_harry_potter","2","13:13:54","N/A",
Bot5,"Илья",normal,36,Active,"Spawn Rush","Spawn Rush: Objective #1","1","13:13:55","N/A",
Bot13,"Карлуша Воробьянинов (Billy)",normal,1,Active,"3rd Floor Office","3rd Floor Office: Objective #1","1","13:18:16","N/A",
Bot18,"Marshall",normal,36,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","13:19:45","N/A",
Bot19,"Hassan",normal,33,Pending,"TerraGroup Storage Room","TerraGroup Storage Room: Objective #1","1","13:19:45","N/A",
