Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot18,"Тихон",normal,2,Completed,"Train Yard","Train Yard: Objective #1","1","19:47:14","19:50:39",
Bot18,"Тихон",normal,2,Completed,"Train Yard","Train Yard: Objective #3","1","19:50:44","19:51:16",
Bot18,"Тихон",normal,2,Completed,"Train Yard","Train Yard: Objective #2","1","19:51:21","19:51:57",
Bot18,"Тихон",normal,2,Completed,"Train Yard","Train Yard: Objective #4","1","19:52:02","19:52:46",
Bot18,"Тихон",normal,2,Active,"USEC Camp Building 2","USEC Camp Building 2: Objective #1","1","19:52:51","N/A",
Bot19,"Василий",normal,5,Pending,"USEC Camp Building 3","USEC Camp Building 3: Objective #5","1","19:47:14","N/A",
Bot21,"Brendon",normal,24,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","19:47:15","19:48:37",
Bot21,"Brendon",normal,24,Active,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:49:07","N/A",
Bot20,"Brian",normal,31,Completed,"Long Road","Zone qlight_br_secure_road","1","19:47:15","19:48:27",
Bot20,"Brian",normal,31,Active,"Stage Sniping","Stage Sniping: Objective #3","2","19:49:27","N/A",
Bot22,"Bud",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (-149.9 12.0 -200.8)","1","19:47:16","19:47:33",
Bot22,"Bud",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (-122.3 6.5 -270.5)","1","19:47:38","19:48:18",
Bot22,"Bud",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (-161.5 9.8 -261.7)","1","19:48:23","19:48:49",
Bot22,"Bud",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (-87.5 6.0 -270.0)","1","19:48:54","19:49:29",
Bot22,"Bud",normal,44,Active,"Boss Hunter (bossKnight)","Spawn Point (-120.8 11.1 -228.9)","1","19:49:34","N/A",
Bot24,"Христофор",normal,30,Completed,"Missing Cargo","Zone qlight_find_crushed_heli","1","19:47:17","19:47:32",
Bot24,"Христофор",normal,30,Completed,"Missing Cargo","Item Stolen military documents","1","19:47:38","19:49:04",
Bot24,"Христофор",normal,30,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:49:09","19:49:52",
Bot24,"Христофор",normal,30,Active,"Revision - Lighthouse","Zone qlight_mark_vech3","1","19:50:23","N/A",
Bot23,"Игнат",normal,35,Completed,"Missing Cargo","Zone qlight_find_crushed_heli","1","19:47:17","19:47:33",
Bot23,"Игнат",normal,35,Completed,"Missing Cargo","Item Stolen military documents","1","19:47:38","19:49:17",
Bot23,"Игнат",normal,35,Active,"Is This a Reference?","Zone zone_rick_and_morty","1","19:49:22","N/A",
Bot25,"Филат",normal,16,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","19:47:18","19:49:01",
Bot25,"Филат",normal,16,Active,"Chalet","Chalet: Objective #9","1","19:49:31","N/A",
Bot29,"Graig",normal,40,Active,"Reconnaissance","Zone qlight_extension_prapor1_exploration3","1","19:53:55","N/A",
