Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot8,"Феликс",normal,21,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","02:18:29","02:18:44",
Bot8,"Феликс",normal,21,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","02:18:50","02:19:00",
Bot8,"Феликс",normal,21,Active,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","02:19:05","N/A",
Bot9,"Jacob",normal,11,Active,"Command Center Rush","Command Center Rush: Objective #2","1","02:18:31","N/A",
Bot10,"Terence",normal,21,Pending,"No Place for Renegades","Zone prapor_hq_area_check_1","1","02:18:31","N/A",
Bot11,"Ahmad",normal,15,Active,"The Bunker - Part 2","Zone prapor_025_area_2","1","02:18:36","N/A",
Bot13,"Ростислав",normal,24,Completed,"Reserve","Zone huntsman_029","1","02:18:38","02:21:03",
Bot13,"Ростислав",normal,24,Completed,"Safe Corridor","Zone lijnik_storage_area_1","1","02:21:08","02:44:11",
Bot13,"Ростислав",normal,24,Failed,"Hermetic Depot","Hermetic Depot: Objective #5","1","02:45:11","02:45:13",
Bot13,"Ростислав",normal,24,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","02:45:18","02:45:24",
Bot13,"Ростислав",normal,24,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","02:45:29","02:45:48",
Bot13,"Ростислав",normal,24,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","02:45:53","02:46:09",
Bot13,"Ростислав",normal,24,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","02:46:14","02:48:17",
Bot13,"Ростислав",normal,24,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","02:48:22","02:48:32",
Bot13,"Ростислав",normal,24,Pending,"Hermetic Depot","Hermetic Depot: Objective #7","1","02:48:37","N/A",
Bot12,"Мартын",normal,17,Completed,"Boss Hunter (bossGluhar)","Spawn Point (216.7 -6.9 -176.9)","1","02:18:38","02:18:56",
Bot12,"Мартын",normal,17,Completed,"Boss Hunter (bossGluhar)","Spawn Point (225.1 -6.8 -123.0)","1","02:19:01","02:19:28",
Bot12,"Мартын",normal,17,Completed,"Boss Hunter (bossGluhar)","Spawn Point (240.9 -7.1 -94.9)","1","02:19:33","02:20:00",
Bot12,"Мартын",normal,17,Completed,"Boss Hunter (bossGluhar)","Spawn Point (217.3 -6.9 -172.0)","1","02:20:05","02:20:55",
Bot12,"Мартын",normal,17,Active,"Boss Hunter (bossGluhar)","Spawn Point (230.4 -6.8 -117.5)","1","02:21:00","N/A",
Bot14,"Juan",normal,28,Active,"The Bunker - Part 2","Zone prapor_025_area_2","1","02:18:39","N/A",
Bot24,"Олежа Вонючка (Ярослав)",normal,1,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","02:24:15","02:24:32",
Bot24,"Олежа Вонючка (Ярослав)",normal,1,Failed,"Dome Buildings","Dome Buildings: Objective #6","1","02:24:37","02:24:59",
Bot24,"Олежа Вонючка (Ярослав)",normal,1,Active,"Dome Buildings","Dome Buildings: Objective #1","1","02:25:04","N/A",
Bot31,"Олег",normal,20,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","02:25:21","02:25:27",
Bot31,"Олег",normal,20,Pending,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","02:25:32","N/A",
Bot30,"Данила",normal,23,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","02:25:22","02:25:27",
Bot30,"Данила",normal,23,Pending,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","02:25:32","N/A",
Bot35,"Лаврентий",normal,14,Completed,"Back Door","Zone mechanik_exit_area_1","1","02:30:13","02:30:17",
Bot35,"Лаврентий",normal,14,Active,"D2 Area","D2 Area: Objective #5","1","02:30:22","N/A",
Bot36,"Игнатий",normal,7,Pending,"D2 from Dome","D2 from Dome: Objective #3","1","02:30:13","N/A",
Bot41,"Ronald",normal,24,Active,"Classified Technologies","Item T-90M Commander Control Panel","1","02:33:16","N/A",
Bot40,"Seymour",normal,36,Active,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","1","02:33:16","N/A",
Bot39,"Guadalupe",normal,30,Active,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","02:33:16","N/A",
Bot49,"Garrett",normal,26,Active,"Command Center","Command Center: Objective #9","1","02:39:47","N/A",
Bot50,"Герчик Щур (Terrence)",normal,1,Completed,"White Rook","White Rook: Objective #1","1","02:40:27","02:40:49",
Bot50,"Герчик Щур (Terrence)",normal,1,Completed,"White Rook","White Rook: Objective #2","1","02:40:54","02:41:40",
Bot50,"Герчик Щур (Terrence)",normal,1,Completed,"White Rook","White Rook: Objective #4","1","02:41:45","02:41:51",
Bot50,"Герчик Щур (Terrence)",normal,1,Failed,"Hermetic Depot","Hermetic Depot: Objective #7","1","02:41:56","02:42:12",
Bot50,"Герчик Щур (Terrence)",normal,1,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","02:42:17","02:42:54",
Bot50,"Герчик Щур (Terrence)",normal,1,Active,"Hermetic Depot","Hermetic Depot: Objective #6","1","02:42:59","N/A",
Bot56,"Тоха Водолаз (Артур)",normal,1,Pending,"Hermetic Depot","Hermetic Depot: Objective #2","1","02:46:12","N/A",
Bot58,"Аскольд",normal,20,Active,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","02:48:31","N/A",
Bot59,"Арсений",normal,15,Active,"South Hill Sniping","South Hill Sniping: Objective #3","1","02:48:31","N/A",
Bot57,"Клим",normal,27,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","02:48:31","02:48:34",
Bot57,"Клим",normal,27,Pending,"Hermetic Depot","Hermetic Depot: Objective #8","1","02:48:39","N/A",
Bot60,"Савва",normal,31,Pending,"Hermetic Depot","Hermetic Depot: Objective #3","1","02:48:32","N/A",
Bot61,"Радик Фонарь (Roman)",normal,1,Failed,"Command Center","Command Center: Objective #8","1","02:48:43","02:49:09",
Bot61,"Радик Фонарь (Roman)",normal,1,Active,"Command Center","Command Center: Objective #7","1","02:49:14","N/A",
Bot62,"Витян Тормоз (Laverne)",normal,1,Active,"Hermetic Depot","Hermetic Depot: Objective #8","1","02:49:03","N/A",
Bot63,"Джонни Шниперсон (Elwood)",normal,1,Active,"NW Bunkers","NW Bunkers: Objective #4","1","02:49:04","N/A",
Bot64,"Эдуард Сизый (Ulysses)",normal,1,Pending,"Black Pawn","Black Pawn: Objective #5","1","02:49:15","N/A",
