Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot138,"Тимофей",normal,20,Failed,"Big Red","Big Red: Objective #4","1","00:05:36","00:06:09",
Bot138,"Тимофей",normal,20,Completed,"Big Red","Big Red: Objective #1","1","00:06:14","00:06:25",
Bot138,"Тимофей",normal,20,Pending,"Big Red","Big Red: Objective #5","1","00:06:30","N/A",
Bot137,"Казимир",normal,5,Completed,"Giving Trunk","Giving Trunk: Objective #1","1","00:05:36","00:05:57",
Bot137,"Казимир",normal,5,Archived,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","00:06:02","00:06:40",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #1","1","00:06:45","00:07:30",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #2","1","00:07:35","00:08:05",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #3","1","00:08:10","00:08:49",
Bot137,"Казимир",normal,5,Failed,"Storage","Storage: Objective #4","1","00:08:54","00:09:32",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #5","1","00:09:37","00:09:43",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #6","1","00:09:48","00:10:21",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #7","1","00:10:26","00:11:03",
Bot137,"Казимир",normal,5,Completed,"Storage","Storage: Objective #8","1","00:11:09","00:11:43",
Bot137,"Казимир",normal,5,Completed,"Big Red","Big Red: Objective #2","1","00:11:49","00:13:32",
Bot137,"Казимир",normal,5,Completed,"Big Red","Big Red: Objective #3","1","00:13:37","00:13:41",
Bot137,"Казимир",normal,5,Failed,"Big Red","Big Red: Objective #5","1","00:13:47","00:13:52",
Bot137,"Казимир",normal,5,Completed,"Big Red","Big Red: Objective #1","1","00:13:57","00:14:05",
Bot137,"Казимир",normal,5,Failed,"Big Red","Big Red: Objective #4","1","00:14:10","00:14:15",
Bot137,"Казимир",normal,5,Failed,"Crackhouse","Crackhouse: Objective #7","1","00:14:21","00:18:52",
Bot137,"Казимир",normal,5,Pending,"Crackhouse","Crackhouse: Objective #2","1","00:18:57","N/A",
Bot139,"Teddy",normal,20,Active,"Repair Shop","Repair Shop: Objective #6","1","00:05:36","N/A",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","00:05:37","00:06:16",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","00:06:22","00:08:48",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","00:08:53","00:10:26",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","00:10:32","00:10:54",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","00:10:59","00:11:11",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","00:11:16","00:11:29",
Bot140,"Филимон",normal,18,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","00:11:34","00:12:30",
Bot140,"Филимон",normal,18,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #8","1","00:12:35","00:13:21",
Bot140,"Филимон",normal,18,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #12","1","00:13:26","00:19:17",
Bot140,"Филимон",normal,18,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","00:19:22","00:21:11",
Bot140,"Филимон",normal,18,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","00:21:16","N/A",
Bot140,"Филимон",normal,18,Active,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","00:22:03","N/A",
Bot141,"Korey",normal,16,Pending,"Container Building","Container Building: Objective #2","1","00:05:38","N/A",
