Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot116,"Кондратий",normal,41,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","23:02:55","23:03:22",
Bot116,"Кондратий",normal,41,Pending,"Boss Hunter (bossKnight)","Spawn Point (463.8 1.2 -117.4)","1","23:03:28","N/A",
Bot114,"Корнил",normal,35,Active,"Boss Hunter (exUsec)","Spawn Point (537.5 1.1 -130.9)","1","23:02:55","N/A",
Bot115,"Тарас",normal,31,Pending,"Checkpoint","Checkpoint: Objective #1","1","23:02:55","N/A",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #2","1","23:02:56","23:02:58",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #3","1","23:03:03","23:03:14",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #5","1","23:03:19","23:03:25",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #1","1","23:03:30","23:03:46",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #6","1","23:03:51","23:04:06",
Bot117,"Brady",normal,15,Completed,"Substation","Substation: Objective #4","1","23:04:11","23:04:24",
Bot117,"Brady",normal,15,Active,"The Extortionist","Zone vremyan_case","1","23:04:30","N/A",
Bot118,"Мирон",normal,35,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","23:02:57","23:03:31",
Bot118,"Мирон",normal,35,Failed,"Planting The Evidence - Part 2","Item Flash drive with fake info","1","23:03:37","23:05:18",
Bot118,"Мирон",normal,35,Completed,"Informed Means Armed","Zone place_skier_11_2","2","23:05:23","23:07:47",
Bot118,"Мирон",normal,35,Active,"Chumming","Zone place_skier_12_2","1","23:07:52","N/A",
Bot119,"Lacy",normal,23,Active,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","23:02:58","N/A",
Bot120,"Keven",normal,8,Completed,"BP Depot","Zone fuel3","1","23:02:58","23:03:04",
Bot120,"Keven",normal,8,Completed,"BP Depot","Zone fuel1","1","23:03:34","23:09:09",
Bot120,"Keven",normal,8,Completed,"Short Cut","Short Cut: Objective #1","1","23:09:39","23:10:38",
Bot120,"Keven",normal,8,Pending,"The Extortionist","Zone vremyan_case","1","23:10:43","N/A",
Bot121,"Sylvester",normal,31,Pending,"Is This a Reference?","Zone zone_battlefield","1","23:02:58","N/A",
Bot130,"Christian",normal,31,Completed,"Old Gas","Old Gas: Objective #2","1","23:07:37","23:07:42",
Bot130,"Christian",normal,31,Completed,"Old Gas","Old Gas: Objective #1","1","23:07:47","23:08:13",
Bot130,"Christian",normal,31,Active,"Giving Tree","Giving Tree: Objective #1","1","23:08:18","N/A",
Bot129,"Peter",normal,32,Completed,"Giving Tree","Giving Tree: Objective #1","1","23:07:37","23:07:52",
Bot129,"Peter",normal,32,Active,"Short Cut","Short Cut: Objective #1","1","23:07:57","N/A",
Bot132,"Иосиф",normal,40,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","23:09:37","23:09:45",
Bot132,"Иосиф",normal,40,Active,"Is This a Reference?","Zone zone_battlefield","1","23:09:50","N/A",
Bot131,"Прохор",normal,29,Failed,"Is This a Reference?","Zone zone_vedro","1","23:09:37","23:09:42",
Bot131,"Прохор",normal,29,Pending,"Is This a Reference?","Zone zone_battlefield","1","23:09:43","N/A",
Bot136,"Матвей",normal,43,Active,"Is This a Reference?","Zone zone_unity","1","23:12:45","N/A",
Bot137,"Дмитрий",normal,23,Pending,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","23:12:45","N/A",
Bot139,"Шура Драгунов (Mohammad)",normal,1,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","23:12:46","23:14:45",
Bot139,"Шура Драгунов (Mohammad)",normal,1,Completed,"Storage","Storage: Objective #1","1","23:14:50","23:15:08",
Bot139,"Шура Драгунов (Mohammad)",normal,1,Active,"Storage","Storage: Objective #2","1","23:15:13","N/A",
Bot141,"Армен Приставка (Jefferey)",normal,1,Active,"Storage","Storage: Objective #1","1","23:14:42","N/A",
