Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot73,"Карл",normal,15,Active,"Gratitude","Zone place_THX_15","1","15:02:20","N/A",
Bot75,"Всеслав",normal,8,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","15:02:21","15:02:56",
Bot75,"Всеслав",normal,8,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","15:03:01","15:03:17",
Bot75,"Всеслав",normal,8,Failed,"Scav Base","Scav Base: Objective #1","1","15:03:22","15:04:23",
Bot75,"Всеслав",normal,8,Completed,"Scav Base","Scav Base: Objective #4","2","15:04:28","15:05:04",
Bot75,"Всеслав",normal,8,Completed,"Scav Base","Scav Base: Objective #3","1","15:05:09","15:05:52",
Bot75,"Всеслав",normal,8,Pending,"Scav Base","Scav Base: Objective #2","1","15:05:57","N/A",
Bot74,"Григорий",normal,12,Completed,"The Next Lead","Item Encrypted message","1","15:02:22","15:04:57",
Bot78,"Rufus",normal,16,Completed,"Steady Signal","Zone q14_8_5","1","15:02:23","15:05:19",
Bot77,"Jared",normal,20,Active,"Gratitude","Zone place_THX_15","1","15:02:23","N/A",
Bot76,"Lester",normal,8,Active,"Provide Cover","Zone em_quest4_1","2","15:02:24","N/A",
Bot80,"Les",normal,6,Completed,"Rough Tarkov","Zone Woods_mine_quest","1","15:02:25","15:04:04",
Bot80,"Les",normal,6,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","15:04:09","15:05:27",
Bot80,"Les",normal,6,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","15:05:32","15:05:50",
Bot80,"Les",normal,6,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","15:05:55","15:06:49",
Bot80,"Les",normal,6,Completed,"Convoy","Convoy: Objective #1","1","15:06:55","15:07:36",
Bot80,"Les",normal,6,Completed,"Convoy","Convoy: Objective #2","1","15:07:41","15:07:50",
Bot80,"Les",normal,6,Completed,"Scav Bunker","Scav Bunker: Objective #1","2","15:07:55","15:09:07",
Bot80,"Les",normal,6,Failed,"Scav Bunker","Scav Bunker: Objective #2","1","15:09:12","15:09:30",
Bot80,"Les",normal,6,Pending,"USEC Camp South","USEC Camp South: Objective #1","2","15:09:35","N/A",
Bot81,"Donte",normal,15,Completed,"Supply Plans","Item Secure Folder 0052","1","15:02:25","15:04:53",
Bot81,"Donte",normal,15,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #1","2","15:04:58","15:06:51",
Bot81,"Donte",normal,15,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","15:06:56","15:09:13",
Bot81,"Donte",normal,15,Active,"Sawmill Patrol","Sawmill Patrol: Objective #4","2","15:09:18","N/A",
Bot79,"Stacey",normal,16,Completed,"Search Mission","Zone pr_scout_base","1","15:02:25","15:03:30",
Bot79,"Stacey",normal,16,Completed,"Search Mission","Zone pr_scout_col","1","15:03:35","15:05:18",
Bot79,"Stacey",normal,16,Failed,"USEC Camp South","USEC Camp South: Objective #1","2","15:05:23","15:08:04",
Bot79,"Stacey",normal,16,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","15:08:10","15:08:17",
Bot79,"Stacey",normal,16,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","15:08:22","15:09:33",
Bot79,"Stacey",normal,16,Active,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","15:09:38","N/A",
Bot82,"Christopher",normal,14,Pending,"Search Mission","Zone pr_scout_base","1","15:02:25","N/A",
Bot83,"Пахомий Дымный (Rudolph)",normal,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","15:04:52","15:04:59",
Bot83,"Пахомий Дымный (Rudolph)",normal,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","15:05:05","15:05:11",
Bot83,"Пахомий Дымный (Rudolph)",normal,1,Completed,"Scav Base","Scav Base: Objective #1","5","15:05:16","15:07:03",
Bot90,"Степа Очко (Darwin)",normal,1,Pending,"USEC Camp North","USEC Camp North: Objective #1","1","15:10:08","N/A",
Bot91,"Митяй Милота (Rodolfo)",normal,1,Pending,"USEC Camp South","USEC Camp South: Objective #3","1","15:10:08","N/A",
Bot89,"Макс Шприц (Terrance)",normal,1,Active,"Convoy","Convoy: Objective #1","1","15:10:08","N/A",
