Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot117,"Степан",normal,44,Completed,"Chumming","Zone place_skier_12_2","2","12:43:03","12:44:39",
Bot117,"Степан",normal,44,Active,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","12:44:45","N/A",
Bot118,"Мирон",normal,43,Active,"Is This a Reference?","Zone zone_vedro","1","12:43:03","N/A",
Bot119,"Олег",normal,44,Failed,"Bullshit","Item Flash drive with fake info","1","12:43:04","12:46:17",
Bot119,"Олег",normal,44,Active,"Bullshit","Zone Q019_3","1","12:46:22","N/A",
Bot120,"Garfield",normal,35,Completed,"Boss Hunter (sectantPriest)","Spawn Point (291.7 1.5 -197.1)","1","12:43:05","12:43:20",
Bot120,"Garfield",normal,35,Failed,"Boss Hunter (sectantPriest)","Spawn Point (255.5 1.2 -108.4)","1","12:43:25","12:44:37",
Bot120,"Garfield",normal,35,Completed,"Boss Hunter (sectantPriest)","Spawn Point (375.1 1.4 -88.8)","1","12:44:42","12:45:47",
Bot120,"Garfield",normal,35,Completed,"Boss Hunter (sectantPriest)","Spawn Point (323.3 1.6 -98.5)","1","12:45:52","12:46:31",
Bot120,"Garfield",normal,35,Completed,"Boss Hunter (sectantPriest)","Spawn Point (385.7 1.1 -116.2)","1","12:46:36","12:49:37",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #5","1","12:49:42","12:50:47",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #8","1","12:50:53","12:50:53",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #7","1","12:50:58","12:51:06",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #2","1","12:51:11","12:51:14",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #4","1","12:51:19","12:51:28",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #1","1","12:51:33","12:51:35",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #3","1","12:51:40","12:51:48",
Bot120,"Garfield",normal,35,Failed,"Fortress","Fortress: Objective #6","1","12:51:53","12:51:57",
Bot121,"Robt",normal,49,Failed,"Capturing Outposts","Zone prapor_27_1","1","12:43:05","12:52:05",
Bot121,"Robt",normal,49,Active,"Power Switch","Power Switch: Objective #1","1","12:53:05","N/A",
Bot122,"Ronny",normal,33,Completed,"Warehouse 17","Warehouse 17: Objective #1","1","12:43:05","12:44:20",
Bot122,"Ronny",normal,33,Active,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","12:44:25","N/A",
Bot123,"Марк",normal,44,Active,"Is This a Reference?","Zone zone_battlefield","1","12:43:06","N/A",
Bot124,"Макей",normal,43,Pending,"Is This a Reference?","Zone zone_battlefield","1","12:43:06","N/A",
Bot125,"Jerimiah",normal,45,Completed,"Informed Means Armed","Zone place_skier_11_2","2","12:43:09","12:43:40",
Bot125,"Jerimiah",normal,45,Active,"Is This a Reference?","Zone zone_unity","1","12:43:45","N/A",
Bot134,"Cletus",normal,20,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","12:48:55","12:48:56",
Bot134,"Cletus",normal,20,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","12:49:26","12:50:03",
Bot134,"Cletus",normal,20,Active,"Pharmacist","Zone room114","1","12:50:09","N/A",
Bot133,"Aurelio",normal,27,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","12:48:55","12:48:56",
Bot133,"Aurelio",normal,27,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","12:49:26","N/A",
Bot143,"Мелентий Коряга (Levi)",normal,1,Pending,"Big Red","Big Red: Objective #4","1","12:52:08","N/A",
Bot150,"Eusebio",normal,34,Failed,"Giving Tree","Giving Tree: Objective #1","1","12:56:49","12:57:04",
Bot150,"Eusebio",normal,34,Completed,"Porta Potty","Porta Potty: Objective #1","1","12:57:10","12:57:49",
Bot150,"Eusebio",normal,34,Failed,"Old Gas","Old Gas: Objective #1","1","12:57:55","12:58:19",
Bot150,"Eusebio",normal,34,Failed,"Old Gas","Old Gas: Objective #2","1","12:58:24","12:58:46",
Bot150,"Eusebio",normal,34,Active,"Power Switch","Power Switch: Objective #1","1","12:58:51","N/A",
Bot156,"Ростислав",normal,31,Active,"Military Base CP","Military Base CP: Objective #1","1","12:57:51","N/A",
Bot158,"Данила",normal,32,Pending,"Container Building Ambush","Container Building Ambush: Objective #1","1","12:57:52","N/A",
Bot157,"Кузьма",normal,21,Pending,"Tigr Safari","Zone place_peacemaker_002_N2","1","12:57:52","N/A",
Bot161,"Миша Палач (Ignacio)",normal,1,Active,"Big Red","Big Red: Objective #4","1","12:58:52","N/A",
