Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"Евдоким",normal,20,Active,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","13:15:04","N/A",
Bot10,"Станислав",normal,24,Failed,"The Bunker - Part 1","Zone prapor_024_area_1","1","13:15:06","13:23:15",
Bot11,"Игорь",normal,28,Failed,"Disease History","Item Medical record #1","1","13:15:07","13:15:24",
Bot11,"Игорь",normal,28,Failed,"Disease History","Item Medical record #2","1","13:15:29","13:15:47",
Bot12,"Даниил",normal,36,Failed,"Documents","Item Military documents #1","1","13:15:07","13:33:31",
Bot14,"Пахом",normal,30,Failed,"Dome Buildings","Dome Buildings: Objective #1","1","13:15:09","13:18:22",
Bot16,"Геннадий",normal,24,Failed,"Dome Buildings","Dome Buildings: Objective #1","2","13:15:09","13:18:12",
Bot15,"Христофор",normal,27,Failed,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","1","13:15:09","13:31:11",
Bot18,"Афанасий",normal,36,Completed,"Is This a Reference?","Zone zone_two_chairs","2","13:15:09","13:16:09",
Bot18,"Афанасий",normal,36,Failed,"Is This a Reference?","Zone zone_tanchiki","1","13:16:14","13:17:56",
Bot17,"Антон",normal,15,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","13:15:09","13:26:14",
Bot17,"Антон",normal,15,Completed,"D2 Area","D2 Area: Objective #2","1","13:26:19","13:26:28",
Bot17,"Антон",normal,15,Failed,"D2 Area","D2 Area: Objective #1","1","13:26:33","13:28:48",
Bot13,"Корней",normal,30,Failed,"Documents","Item Military documents #2","1","13:15:10","13:18:56",
Bot25,"Ростя Базука (Joe)",normal,1,Pending,"Hermetic Depot","Hermetic Depot: Objective #1","1","13:20:41","N/A",
Bot28,"Пахан Братан (Marquis)",normal,1,Failed,"Command Center","Command Center: Objective #8","1","13:22:35","13:28:59",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Scav Lands North Building","Scav Lands North Building: Objective #1","1","13:23:06","13:23:16",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #3","1","13:23:21","13:24:00",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #6","1","13:24:06","13:24:17",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #5","1","13:24:22","13:24:33",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #4","1","13:24:38","13:25:06",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #1","1","13:25:11","13:25:26",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"Train Yard","Train Yard: Objective #2","1","13:25:31","13:25:42",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Failed,"White Bishop","White Bishop: Objective #6","1","13:25:47","13:26:25",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Failed,"White Bishop","White Bishop: Objective #3","1","13:26:30","13:26:36",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"White Bishop","White Bishop: Objective #7","1","13:26:42","13:26:56",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"White Bishop","White Bishop: Objective #2","1","13:27:01","13:27:09",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"White Bishop","White Bishop: Objective #5","1","13:27:14","13:27:29",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Completed,"White Bishop","White Bishop: Objective #4","1","13:27:34","13:27:44",
Bot29,"Рудик Мутнорылый (Георгий)",normal,1,Failed,"White Bishop","White Bishop: Objective #9","1","13:27:49","13:28:56",
Bot51,"Анатолий",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","13:28:58","13:29:00",
Bot51,"Анатолий",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","13:29:05","13:32:57",
Bot50,"Назар",normal,36,Failed,"Documents","Item Military documents #2","1","13:28:58","13:32:37",
Bot49,"Емельян",normal,36,Failed,"Is This a Reference?","Zone zone_grass_green","1","13:28:58","13:32:45",
Bot52,"Изя Гудинщик (Normand)",normal,1,Completed,"D2 from Dome","D2 from Dome: Objective #1","1","13:29:38","13:29:42",
Bot52,"Изя Гудинщик (Normand)",normal,1,Completed,"D2 from Dome","D2 from Dome: Objective #2","1","13:29:47","13:29:53",
Bot52,"Изя Гудинщик (Normand)",normal,1,Completed,"D2 from Dome","D2 from Dome: Objective #3","1","13:29:58","13:30:07",
Bot52,"Изя Гудинщик (Normand)",normal,1,Failed,"Command Center","Command Center: Objective #2","1","13:30:12","13:31:13",
Bot55,"Матвей Капелька (Augustus)",normal,1,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","13:33:06","13:33:48",
Bot55,"Матвей Капелька (Augustus)",normal,1,Failed,"D2 Area","D2 Area: Objective #2","1","13:33:49","13:39:22",
Bot59,"Витя Газобетон (Robbie)",normal,1,Failed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","13:33:52","13:34:44",
Bot59,"Витя Газобетон (Robbie)",normal,1,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","13:34:49","13:35:04",
Bot59,"Витя Газобетон (Robbie)",normal,1,Active,"White Knight","White Knight: Objective #1","1","13:35:09","N/A",
Bot60,"Игорь Русский (Fred)",normal,1,Active,"Command Center","Command Center: Objective #9","1","13:34:36","N/A",
Bot64,"Gavin",normal,36,Completed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","13:34:41","13:35:56",
Bot64,"Gavin",normal,36,Failed,"White Knight RB-MP22","White Knight RB-MP22: Objective #1","1","13:36:01","13:36:02",
Bot64,"Gavin",normal,36,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","13:36:08","13:36:49",
Bot64,"Gavin",normal,36,Failed,"Hermetic Depot","Hermetic Depot: Objective #3","1","13:36:54","13:37:29",
Bot66,"Платон Бутыль (Сильвестр)",normal,1,Pending,"Command Center","Command Center: Objective #9","1","13:35:45","N/A",
Bot68,"Филипп",normal,31,Failed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","13:36:12","13:36:44",
Bot68,"Филипп",normal,31,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","13:36:49","13:39:40",
Bot68,"Филипп",normal,31,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","13:39:45","13:40:02",
Bot68,"Филипп",normal,31,Active,"Hermetic Depot","Hermetic Depot: Objective #4","1","13:40:07","N/A",
Bot67,"Трофим",normal,20,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","13:36:12","13:36:20",
Bot67,"Трофим",normal,20,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","13:36:25","13:36:39",
Bot67,"Трофим",normal,20,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","13:36:45","13:36:50",
Bot67,"Трофим",normal,20,Failed,"Hermetic Depot","Hermetic Depot: Objective #2","1","13:36:55","13:37:06",
Bot67,"Трофим",normal,20,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","13:37:12","13:37:53",
Bot67,"Трофим",normal,20,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","13:37:58","13:38:12",
Bot67,"Трофим",normal,20,Active,"Hermetic Depot","Hermetic Depot: Objective #7","1","13:38:17","N/A",
Bot74,"Петя Нервный (Henry)",normal,1,Pending,"Command Center","Command Center: Objective #1","1","13:39:38","N/A",
