Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot27,"Григорий",normal,16,Failed,"Search Mission","Zone pr_scout_base","1","21:16:39","21:17:47",
Bot30,"Марат Мутнорылый (Basil)",normal,1,Active,"Scav Base","Scav Base: Objective #3","1","21:15:37","N/A",
Bot32,"Захар",normal,16,Completed,"Cooperation Is Important","Zone meh_45_radio_area_mark_4","2","21:16:38","21:18:46",
Bot32,"Захар",normal,16,Completed,"Small Business - Part 3","Zone place_peacemaker_007_2_N2","2","21:18:51","21:21:37",
Bot32,"Захар",normal,16,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N2_1","1","21:21:42","N/A",
Bot33,"Фаддей",normal,35,Pending,"Steady Signal","Zone q14_8_4","1","21:16:39","N/A",
Bot34,"Витя Колпак (Numbers)",normal,1,Completed,"Convoy","Convoy: Objective #1","1","21:17:37","21:18:16",
Bot34,"Витя Колпак (Numbers)",normal,1,Completed,"Convoy","Convoy: Objective #2","1","21:18:21","21:18:26",
Bot34,"Витя Колпак (Numbers)",normal,1,Failed,"USEC Camp South","USEC Camp South: Objective #1","1","21:18:31","21:19:18",
Bot39,"Kermit",normal,17,Completed,"Scav Base","Scav Base: Objective #3","1","21:21:44","21:21:47",
Bot39,"Kermit",normal,17,Completed,"Scav Base","Scav Base: Objective #2","4","21:21:52","21:22:56",
Bot39,"Kermit",normal,17,Completed,"Scav Base","Scav Base: Objective #4","2","21:23:01","21:24:05",
Bot39,"Kermit",normal,17,Pending,"Scav Base","Scav Base: Objective #1","4","21:24:10","N/A",
Bot40,"Duane",normal,32,Pending,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:21:44","N/A",
