Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot85,"Beau",normal,32,Completed,"Boss Hunter (pmcBot)","Spawn Point (-311.9 1.0 -125.0)","1","17:23:06","17:24:37",
Bot85,"Beau",normal,32,Pending,"Boss Hunter (pmcBot)","Spawn Point (-333.8 -0.4 -84.5)","1","17:24:42","N/A",
Bot87,"Kelley",normal,23,Active,"Boss Hunter (pmcBot)","Spawn Point (-311.9 1.0 -125.0)","1","17:23:06","N/A",
Bot86,"Jackson",normal,44,Active,"Big Red","Big Red: Objective #2","1","17:23:06","N/A",
Bot88,"Duncan",normal,22,Active,"Farming - Part 3","Zone place_SADOVOD_03","1","17:23:06","N/A",
Bot84,"Maynard",normal,35,Completed,"Storage","Storage: Objective #6","1","17:23:06","17:23:23",
Bot84,"Maynard",normal,35,Completed,"Storage","Storage: Objective #7","1","17:23:29","17:24:25",
Bot84,"Maynard",normal,35,Completed,"Storage","Storage: Objective #8","1","17:24:30","17:24:39",
Bot84,"Maynard",normal,35,Pending,"Storage","Storage: Objective #5","1","17:24:44","N/A",
Bot90,"Сергей",normal,34,Active,"Is This a Reference?","Zone zone_battlefield","1","17:23:07","N/A",
Bot89,"Кузьма",normal,6,Active,"Old Gas","Old Gas: Objective #2","1","17:23:07","N/A",
Bot91,"Rubin",normal,48,Failed,"Is This a Reference?","Zone zone_unity","1","17:23:08","17:23:36",
Bot91,"Rubin",normal,48,Failed,"Is This a Reference?","Zone zone_vedro","1","17:23:37","17:23:37",
Bot91,"Rubin",normal,48,Failed,"Is This a Reference?","Zone zone_battlefield","1","17:23:39","17:23:39",
Bot91,"Rubin",normal,48,Completed,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","17:23:40","17:23:40",
Bot91,"Rubin",normal,48,Pending,"Chumming","Zone place_skier_12_2","1","17:23:51","N/A",
Bot92,"Marco",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (27.5 -1.1 127.3)","1","17:23:11","17:23:23",
Bot92,"Marco",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (-9.7 -6.9 127.7)","1","17:23:28","17:23:49",
Bot92,"Marco",normal,44,Completed,"Boss Hunter (bossKnight)","Spawn Point (19.3 -0.9 36.4)","1","17:23:54","17:25:03",
Bot92,"Marco",normal,44,Pending,"Boss Hunter (bossKnight)","Spawn Point (29.8 1.1 -29.5)","1","17:25:08","N/A",
