Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Rubin",normal,46,Active,"Is This a Reference?","Zone zone_Always_sunny","1","14:57:43","N/A",
Bot35,"Francis",normal,38,Active,"Spawn Rush","Spawn Rush: Objective #1","1","14:57:43","N/A",
Bot37,"Евгений",normal,43,Failed,"Health Care Privacy - Part 6","Item Blood sample","1","14:57:46","14:57:46",
Bot37,"Евгений",normal,43,Completed,"Med Tent","Med Tent: Objective #1","2","14:57:51","14:58:09",
Bot37,"Евгений",normal,43,Pending,"Is This a Reference?","Zone zone_sapper","1","14:58:14","N/A",
Bot38,"Макей",normal,40,Active,"Is This a Reference?","Zone zone_sapper","1","14:57:50","N/A",
Bot44,"Антич Базука (Jospeh)",normal,1,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","15:01:24","15:01:47",
