Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot30,"Артур Градус (Тихон)",normal,1,Active,"Big Red","Big Red: Objective #4","1","14:34:28","N/A",
Bot32,"Jerrod",normal,23,Active,"Passage between Rocks","Passage between Rocks: Objective #1","1","14:34:29","N/A",
Bot33,"Денис",normal,15,Failed,"Repair Shop","Repair Shop: Objective #6","1","14:34:29","14:34:32",
Bot33,"Денис",normal,15,Failed,"Repair Shop","Repair Shop: Objective #3","1","14:34:38","14:34:58",
Bot33,"Денис",normal,15,Active,"Repair Shop","Repair Shop: Objective #1","1","14:35:03","N/A",
Bot35,"Brayden",normal,24,Completed,"Storage","Storage: Objective #5","1","14:34:30","14:34:36",
Bot35,"Brayden",normal,24,Completed,"Storage","Storage: Objective #4","1","14:34:41","14:35:00",
Bot35,"Brayden",normal,24,Pending,"Storage","Storage: Objective #3","1","14:35:05","N/A",
Bot34,"Linwood",normal,22,Completed,"Storage","Storage: Objective #5","1","14:34:30","14:34:34",
Bot34,"Linwood",normal,22,Completed,"Storage","Storage: Objective #4","1","14:34:39","14:34:55",
Bot34,"Linwood",normal,22,Pending,"Storage","Storage: Objective #3","1","14:35:00","N/A",
Bot36,"Иван",normal,6,Active,"Fortress","Fortress: Objective #4","1","14:34:31","N/A",
Bot37,"Демьян",normal,21,Pending,"Fortress","Fortress: Objective #4","1","14:34:31","N/A",
Bot39,"Ulysses",normal,14,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","14:34:32","14:35:10",
Bot39,"Ulysses",normal,14,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","14:35:16","N/A",
Bot38,"Maximo",normal,15,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","14:34:32","14:35:08",
Bot38,"Maximo",normal,15,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","14:35:13","N/A",
Bot40,"Marlon",normal,12,Active,"Crackhouse","Crackhouse: Objective #7","1","14:34:32","N/A",
