Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Иосиф",normal,27,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","21:54:55","21:55:19",
Bot5,"Иосиф",normal,27,Active,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","21:55:24","N/A",
Bot6,"Самуил",normal,30,Pending,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","21:54:55","N/A",
Bot8,"Артём",normal,35,Active,"Is This a Reference?","Zone Zone_two_toilets","1","21:54:56","N/A",
Bot7,"Нестор",normal,39,Completed,"Lend-Lease - Part 1","Item Motor Controller #2","1","21:54:56","22:10:35",
Bot7,"Нестор",normal,39,Active,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #2","1","22:10:40","N/A",
Bot10,"Granville",normal,34,Completed,"Is This a Reference?","Zone Zone_cursed","2","21:54:57","21:55:55",
Bot10,"Granville",normal,34,Active,"Is This a Reference?","Zone Zone_two_toilets","1","21:56:00","N/A",
Bot9,"Cameron",normal,51,Completed,"Forester's Duty","Zone marafon_kill_village_shoreline","1","21:54:57","21:55:12",
Bot9,"Cameron",normal,51,Completed,"Serious Allegations","Item Hard drive","1","21:56:12","21:59:07",
Bot9,"Cameron",normal,51,Completed,"Boss Hunter (sectantPriest)","Spawn Point (183.7 -46.7 44.0)","1","21:59:12","22:00:05",
Bot9,"Cameron",normal,51,Completed,"Boss Hunter (sectantPriest)","Spawn Point (128.4 -48.4 76.8)","1","22:00:11","22:00:45",
Bot9,"Cameron",normal,51,Completed,"Boss Hunter (sectantPriest)","Spawn Point (79.0 -48.4 91.6)","1","22:00:50","22:13:39",
Bot9,"Cameron",normal,51,Failed,"Sanitar's House","Sanitar's House: Objective #1","1","22:13:44","22:14:39",
Bot9,"Cameron",normal,51,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","22:14:45","22:15:10",
Bot9,"Cameron",normal,51,Active,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","22:15:15","N/A",
Bot11,"Семён",normal,30,Active,"Signal - Part 3","Zone place_SIGNAL_03_2","1","21:54:58","N/A",
Bot14,"Евдоким",normal,23,Completed,"Scrap Metal","Zone place_peacemaker_003_N3","1","21:54:59","21:55:20",
Bot14,"Евдоким",normal,23,Active,"Scrap Metal","Zone place_peacemaker_003_N1","1","21:55:50","N/A",
Bot13,"Валерий",normal,38,Active,"Anesthesia","Zone prapor_022_area_3","1","21:54:59","N/A",
Bot12,"Тарас",normal,40,Active,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","21:54:59","N/A",
Bot22,"Marshall",normal,41,Active,"Nostalgia","Zone huntsman_026","1","22:00:35","N/A",
Bot23,"Brent",normal,51,Pending,"Nostalgia","Zone huntsman_026","1","22:00:35","N/A",
Bot32,"Потап",normal,45,Completed,"Is This a Reference?","Zone Zone_two_toilets","2","22:04:34","22:05:04",
Bot32,"Потап",normal,45,Completed,"Is This a Reference?","Zone Zone_cursed","2","22:05:09","22:11:07",
Bot32,"Потап",normal,45,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","22:11:12","22:12:50",
Bot32,"Потап",normal,45,Completed,"Health Care Privacy - Part 1","Zone ter_013_area_1","1","22:13:20","22:13:28",
Bot34,"Ванька Стреляный (Chas)",normal,1,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","22:04:45","22:12:14",
Bot34,"Ванька Стреляный (Chas)",normal,1,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","22:12:19","22:12:50",
Bot34,"Ванька Стреляный (Chas)",normal,1,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","22:12:56","22:13:02",
