Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot121,"Forest",normal,45,Active,"Is This a Reference?","Zone zone_451","1","15:05:40","N/A",
Bot120,"Donn",normal,34,Active,"Is This a Reference?","Zone zone_451","1","15:05:40","N/A",
Bot122,"Cichaj",normal,49,Failed,"Is This a Reference?","Zone zone_Always_sunny","1","15:05:41","15:07:29",
Bot123,"Nickolas",normal,30,Failed,"Bridge Sniping","Bridge Sniping: Objective #1","1","15:05:41","15:06:22",
Bot124,"Тарас",normal,37,Failed,"Is This a Reference?","Zone zone_harry_potter","1","15:05:43","15:06:28",
Bot125,"Larry",normal,45,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","15:05:44","15:05:56",
Bot126,"Артём",normal,35,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:05:48","15:08:26",
Bot130,"Паисий Базай (Dudley)",normal,1,Active,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","15:09:23","N/A",
