Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot89,"Глеб",normal,45,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","14:44:35","14:45:02",
Bot90,"Кузьма",normal,36,Failed,"Proper Comeback","Zone NosQuests_11_factory_place","1","14:44:35","14:45:01",
Bot91,"Пантелей",normal,42,Failed,"Is This a Reference?","Zone zone_Always_sunny","1","14:44:35","14:45:01",
Bot92,"Jamie",normal,50,Failed,"Kitchen","Kitchen: Objective #1","1","14:44:36","14:45:46",
Bot93,"Илья",normal,32,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","14:44:39","14:48:04",
Bot94,"Brain",normal,32,Failed,"TerraGroup Storage Room","TerraGroup Storage Room: Objective #1","1","14:44:41","14:50:02",
