Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Тарас",normal,50,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","11:47:56","11:52:57",
Bot7,"Тарас",normal,50,Completed,"Following the Bread Crumbs","Item Secured tape","1","11:53:02","11:53:26",
Bot7,"Тарас",normal,50,Pending,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","11:53:31","N/A",
Bot8,"Емельян",normal,54,Active,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","11:47:59","N/A",
Bot9,"Heriberto",normal,55,Active,"Boss Hunter (bossTagilla)","Spawn Point (-279.2 0.1 -349.2)","1","11:47:59","N/A",
Bot11,"Давид",normal,55,Failed,"Black Room","Black Room: Objective #2","1","11:48:00","11:48:00",
Bot11,"Давид",normal,55,Active,"Black Room","Black Room: Objective #3","1","11:48:05","N/A",
Bot10,"Валерий",normal,52,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","11:48:00","11:52:18",
Bot10,"Валерий",normal,52,Completed,"Offices Outside","Offices Outside: Objective #1","1","11:52:24","11:53:02",
Bot10,"Валерий",normal,52,Completed,"Offices Outside","Offices Outside: Objective #2","1","11:53:07","11:53:28",
Bot10,"Валерий",normal,52,Active,"Green Room","Green Room: Objective #7","1","11:53:33","N/A",
Bot12,"Tim",normal,54,Active,"Boss Hunter (pmcBot)","Spawn Point (-224.9 0.1 -279.9)","1","11:48:01","N/A",
Bot14,"Christoper",normal,49,Pending,"Server Room Control Room","Server Room Control Room: Objective #1","1","11:48:02","N/A",
Bot13,"Ray",normal,48,Pending,"Server Room Control Room","Server Room Control Room: Objective #1","1","11:48:02","N/A",
Bot16,"Егор",normal,38,Pending,"Planting The Evidence - Part 2","Item Flash drive marked with blue tape","1","11:53:22","N/A",
Bot15,"Данила",normal,52,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","11:53:23","11:53:39",
Bot15,"Данила",normal,52,Pending,"Server Room","Server Room: Objective #2","1","11:53:40","N/A",
