Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Korey",normal,29,Active,"Spawn Rush","Spawn Rush: Objective #1","1","21:59:29","N/A",
Bot4,"Ben",normal,12,Active,"Black Swan","Zone nf2024_6_beacon_2","1","21:59:29","N/A",
Bot7,"Haywood",normal,30,Active,"Is This a Reference?","Zone zone_451","1","21:59:29","N/A",
Bot6,"Cristobal",normal,34,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","21:59:29","N/A",
Bot8,"Claudio",normal,34,Active,"Is This a Reference?","Zone zone_451","1","21:59:30","N/A",
Bot14,"Мстислав Бутират (Odis)",normal,1,Pending,"Basement Crates","Basement Crates: Objective #2","1","22:03:46","N/A",
Bot18,"Илюха Тулкит (Ellis)",normal,1,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","22:07:08","22:07:11",
Bot18,"Илюха Тулкит (Ellis)",normal,1,Pending,"1st Floor Office","1st Floor Office: Objective #2","1","22:07:16","N/A",
Bot19,"Паша Фикус (Ron)",normal,1,Completed,"Kitchen","Kitchen: Objective #1","1","22:08:30","22:08:56",
Bot19,"Паша Фикус (Ron)",normal,1,Completed,"Kitchen","Kitchen: Objective #2","1","22:09:02","22:09:03",
Bot19,"Паша Фикус (Ron)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","22:09:08","22:09:12",
Bot19,"Паша Фикус (Ron)",normal,1,Failed,"Customs Transit Jackets","Customs Transit Jackets: Objective #1","1","22:09:17","22:09:18",
Bot19,"Паша Фикус (Ron)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","22:09:23","22:09:40",
Bot19,"Паша Фикус (Ron)",normal,1,Active,"Basement Crates","Basement Crates: Objective #2","1","22:09:45","N/A",
Bot20,"Авксентий Мурзила (Ramon)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","22:09:11","22:09:44",
Bot23,"Богдан",normal,32,Failed,"Is This a Reference?","Zone zone_Always_sunny","1","22:09:14","22:09:19",
Bot23,"Богдан",normal,32,Pending,"Is This a Reference?","Zone zone_451","1","22:09:20","N/A",
Bot22,"Виталлий",normal,22,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","22:09:14","22:09:19",
Bot22,"Виталлий",normal,22,Pending,"Scout","Zone place_pacemaker_SCOUT_01","1","22:09:24","N/A",
