Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Alonso",normal,33,Failed,"Is This a Reference?","Zone Zone_cursed","1","16:55:59","16:56:44",
Bot4,"Alonso",normal,33,Failed,"Is This a Reference?","Zone Zone_two_toilets","1","16:56:45","17:02:27",
Bot6,"Артемий",normal,11,Completed,"Eagle Eye","Zone place_peacemaker_004_N2","1","16:56:01","16:58:02",
Bot6,"Артемий",normal,11,Failed,"Eagle Eye","Zone place_peacemaker_004_N1","1","16:58:07","17:09:01",
Bot7,"Потап",normal,31,Completed,"Colleagues - Part 1","Zone ter_023_area_3_1","1","16:56:02","16:56:12",
Bot7,"Потап",normal,31,Active,"Colleagues - Part 1","Zone ter_023_area_1_1","1","16:56:17","N/A",
Bot8,"Werner",normal,19,Active,"Spa Tour - Part 5","Item Key to the closed premises of the Health Resort","1","16:56:04","N/A",
Bot9,"Jayson",normal,24,Pending,"Power Station Sniping 2","Power Station Sniping 2: Objective #1","1","16:56:08","N/A",
Bot9,"Jayson",normal,24,Completed,"Rigged Game","Zone skier_022_area_2","2","16:56:08","16:58:18",
Bot9,"Jayson",normal,24,Completed,"Rigged Game","Zone skier_022_area_1","2","16:58:23","17:10:05",
Bot9,"Jayson",normal,24,Active,"Vitamins - Part 1","Item Chemical container #1","1","17:10:10","N/A",
Bot10,"Lenard",normal,21,Pending,"Anesthesia","Zone prapor_022_area_2","1","16:56:08","N/A",
Bot11,"Arlen",normal,35,Pending,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","16:56:29","N/A",
Bot12,"Валентин",normal,18,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","16:56:55","16:58:56",
Bot12,"Валентин",normal,18,Active,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","16:59:26","N/A",
Bot13,"Елизар",normal,19,Pending,"Boss Hunter (bossSanitar)","Spawn Point (-296.3 -62.0 490.2)","1","16:56:55","N/A",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","17:00:19","17:01:29",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #3","1","17:01:34","17:01:50",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #1","1","17:01:55","17:02:05",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #4","1","17:02:10","17:02:19",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #5","1","17:02:24","17:02:35",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #6","1","17:02:40","17:02:49",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #7","1","17:02:54","17:03:12",
Bot23,"Харитон",normal,41,Failed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #10","1","17:03:17","17:03:29",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #8","1","17:03:34","17:03:53",
Bot23,"Харитон",normal,41,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #9","1","17:03:58","17:04:15",
Bot23,"Харитон",normal,41,Failed,"No Swiping","Zone q14_10_point_area","1","17:04:20","17:04:41",
Bot23,"Харитон",normal,41,Failed,"No Swiping","Zone q14_10_kill","1","17:05:41","17:07:14",
Bot23,"Харитон",normal,41,Active,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","17:08:14","N/A",
Bot36,"Семён",normal,33,Active,"Small Business - Part 3","Zone unkown_mark_2","1","17:09:39","N/A",
Bot35,"Игорь",normal,28,Completed,"Forester's Duty","Zone marafon_kill_village_shoreline","1","17:09:39","17:10:05",
Bot35,"Игорь",normal,28,Active,"Courtesy Visit","Zone huntsman_024_1","1","17:11:05","N/A",
Bot38,"Астап",normal,16,Completed,"Wet Job - Part 3","Zone place_peacemaker_010_3","1","17:10:23","17:10:48",
Bot38,"Астап",normal,16,Active,"Signal - Part 1","Zone place_SIGNAL_01_1","1","17:10:54","N/A",
Bot37,"Филипп",normal,33,Active,"Colleagues - Part 1","Zone ter_023_area_2_1","1","17:10:23","N/A",
Bot39,"Михаил",normal,34,Pending,"Health Care Privacy - Part 1","Zone ter_013_area_1","1","17:10:23","N/A",
